crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
青椒,volume,radiation,短波辐射,4.0,-0.1521041142333915,-0.41283905890925976,0.1086308304424767,0.2528729851796271,0.9997788117577607,0.0,0.1521041142333915
青椒,volume,temp_mean,日平均气温,3.0,-0.035846131162919875,-0.25781793490015315,0.18612567257431337,0.7516081829714033,0.9997788117577607,0.0,0.035846131162919875
青椒,volume,wind_speed,日最大风速,1.0,-0.17733057593646845,-0.34822274543584775,-0.0064384064370891225,0.04196737665784227,0.9276672649435107,0.0,0.17733057593646845
韭菜,price,cloud_cover,云量,9.0,0.04933393707161879,-0.058854229083965995,0.15752210322720356,0.37144902268363345,0.9997788117577607,0.0,0.04933393707161879
韭菜,price,dew_point,露点温度,4.0,-0.030666740600067993,-0.21683802290757068,0.1555045417074347,0.7468030957702849,0.9997788117577607,0.0,0.030666740600067993
韭菜,price,et0,参考蒸散ET0,8.0,-0.08085741567704546,-0.23477564600205128,0.07306081464796035,0.3031785180855462,0.9997788117577607,0.0,0.08085741567704546
韭菜,price,humidity,相对湿度,8.0,0.02431302602352493,-0.14878855066741045,0.1974146027144603,0.7830916805015302,0.9997788117577607,0.0,0.02431302602352493
韭菜,price,pressure_msl,海平面气压,14.0,0.04912121196638268,-0.14096054073035907,0.23920296466312446,0.612501378190193,0.9997788117577607,0.0,0.04912121196638268
韭菜,price,radiation,短波辐射,8.0,-0.06096008963587965,-0.217640839861727,0.0957206605899677,0.4457132717769975,0.9997788117577607,0.0,0.06096008963587965
韭菜,price,temp_mean,日平均气温,14.0,-0.040270168369699794,-0.21834066757848997,0.13780033083909038,0.6575858054751956,0.9997788117577607,0.0,0.040270168369699794
韭菜,price,wind_speed,日最大风速,14.0,-0.08417577917258083,-0.20715768006571308,0.03880612172055142,0.1797468067044461,0.9997788117577607,0.0,0.08417577917258083
韭菜,volume,cloud_cover,云量,1.0,-0.1756128297800802,-0.30326450103976976,-0.047961158520390595,0.007009149471388842,0.22732376663963813,0.0,0.1756128297800802
韭菜,volume,dew_point,露点温度,8.0,-0.1830565122212377,-0.4451961737787169,0.0790831493362415,0.1710928207859913,0.9997788117577607,0.0,0.1830565122212377
韭菜,volume,et0,参考蒸散ET0,5.0,-0.13724803731047758,-0.372867242575701,0.09837116795474582,0.25357925882168353,0.9997788117577607,0.0,0.13724803731047758
韭菜,volume,humidity,相对湿度,1.0,-0.23759276584687783,-0.4584678378092999,-0.016717693884455764,0.03500077955464675,0.8531977075943656,0.0,0.23759276584687783
韭菜,volume,pressure_msl,海平面气压,1.0,0.21756762324872686,-0.014896835654165663,0.4500320821516194,0.06659480670263851,0.9997788117577607,0.0,0.21756762324872686
